
2024/11/06 (17:55:03) | ===> btop++ v.1.4.0
2024/11/06 (17:55:03) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/06 (20:31:26) | ===> btop++ v.1.4.0
2024/11/06 (20:31:26) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/06 (22:27:44) | ===> btop++ v.1.4.0
2024/11/06 (22:27:44) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/06 (22:28:30) | ===> btop++ v.1.4.0
2024/11/06 (22:28:30) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/07 (10:08:43) | ===> btop++ v.1.4.0
2024/11/07 (10:08:43) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/08 (21:51:13) | ===> btop++ v.1.4.0
2024/11/08 (21:51:13) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/12 (01:37:39) | ===> btop++ v.1.4.0
2024/11/12 (01:37:39) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/16 (01:27:59) | ===> btop++ v.1.4.0
2024/11/16 (01:27:59) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/16 (16:13:02) | ===> btop++ v.1.4.0
2024/11/16 (16:13:02) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/18 (22:48:33) | ===> btop++ v.1.4.0
2024/11/18 (22:48:33) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/19 (23:33:38) | ===> btop++ v.1.4.0
2024/11/19 (23:33:38) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/25 (13:50:53) | ===> btop++ v.1.4.0
2024/11/25 (13:50:53) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/27 (15:43:24) | ===> btop++ v.1.4.0
2024/11/27 (15:43:24) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/17 (16:41:37) | ===> btop++ v.1.4.0
2024/12/17 (16:41:37) | WARNING: Intel GPU: Failed to initialize PMU
